State,Area,Address,Store Name,Rating,Review Count,Store Status
Melaka,Hang Tuah Jaya,"Address: FG-15 & FG-16, Ground Floor, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Melaka ",McDonald's Dataran Pahlawan 2,4.1,,Operating
Melaka,Hang Tuah Jaya,"Address: Lot PT 13668, Mukim Batu Berendam, Melaka Tengah, 75350 Hang Tuah Jaya, Malacca ",McDonald's Batu Berendam DT,4.1,,Operating
Melaka,Hang Tuah Jaya,"Address: Lot 15702, Mukim Bukit Katil, Daerah Melaka Tengah, Hang Tuah Jaya, 75450, Malacca ",McDonald's MITC Melaka DT,4.2,,Operating
Melaka,Hang Tuah Jaya,"Address: Banda Hilir, 75000 Malacca ",McDonald's Kiosk Dataran Pahlawan,2.5,,Operating
Melaka,Hang Tuah Jaya,"Address: Plaza Melaka Sentral, Lot No. 59, Zone D, Ground Floor, 75000, Malacca ",McDonald's Melaka Sentral,3.5,,Operating
Melaka,Hang Tuah Jaya,"Address: Kampung Enam, 75300 Malacca ",McDonald's Jalan Tun Perak DT,2.7,,Operating
Melaka,Hang Tuah Jaya,"Address: Lot PT188, Pekan Klebang Sek. IV, Daerah, 75200 Malacca ",McDonald's Kota Laksamana DT,4.1,,Operating
Melaka,Hang Tuah Jaya,"Address: Lot 4570 Taman Buaya Melaka, Mukim Bukit Katil, Daerah, 75320 Ayer Keroh, Malacca ",McDonald's Taman Buaya DT,4.1,,Operating
Melaka,Hang Tuah Jaya,"Address: Lot PT 3368, Leboh Ayeh Keroh, Bukit Baru, Melaka Tengah, Malaysia, Melaka, 75450 Malacca ",McDonald's Melaka Mall DT,4.0,,Operating
Melaka,Hang Tuah Jaya,"Address: Utama MV, 75, Jalan Inang, 76450 3 ",McDonald's Bandar Utama Cheng,4.0,,Operating
Melaka,Hang Tuah Jaya,"Address: Lot 4985, Jalan Tun Hamzah, Mukim, 75450 Bukit Katil, Melaka ",McDonald's Petronas Bukit Katil DT,4.1,,No status
Melaka,Hang Tuah Jaya,"Address: GM 229, Lot 18859, Mukim Bertam, Daerah, 75260, Malacca ",McDonald's AMJ Bertam DT,4.2,,Operating
Melaka,Hang Tuah Jaya,"Address: Sebahagian Lot 23344, Jalan Pantai Belimbing, 75260 Krubong, Malacca ",McDonald's Caltex Krubong DT,3.1,,No status
Melaka,Hang Tuah Jaya,"Address: Jalan Jasin - Melaka, 77000 Bemban, Melaka ",McDonald's Jasin DT,3.7,,Operating
Melaka,Hang Tuah Jaya,"Address: 18, Jalan Hang Tuah, 75300 Melaka ",Hang Tuah Cafe,3.8,,Operating
Melaka,Hang Tuah Jaya,"Address: PT 6370, Jalan BMU 1, Bandar Baru Merlimau Utara, 77300 Merlimau, Melaka ",McDonald's Merlimau DT,4.3,,Operating
Melaka,Kota Melaka,"Address: Lot A02, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Malacca ",McDonald's Dataran Pahlawan DT,4.0,,Operating
Melaka,Kota Melaka,"Address: FG-15 & FG-16, Ground Floor, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Melaka ",McDonald's Dataran Pahlawan 2,4.1,,Operating
Melaka,Kota Melaka,"Address: Lot PT188, Pekan Klebang Sek. IV, Daerah, 75200 Malacca ",McDonald's Kota Laksamana DT,4.1,,Operating
Melaka,Kota Melaka,"Address: Plaza Melaka Sentral, Lot No. 59, Zone D, Ground Floor, 75000, Malacca ",McDonald's Melaka Sentral,3.5,,Operating
Melaka,Kota Melaka,"Address: Banda Hilir, 75000 Malacca ",McDonald's Kiosk Dataran Pahlawan,2.5,,Operating
Melaka,Kota Melaka,"Address: Lot PT 13668, Mukim Batu Berendam, Melaka Tengah, 75350 Hang Tuah Jaya, Malacca ",McDonald's Batu Berendam DT,4.1,,Operating
Melaka,Kota Melaka,"Address: Lot PT 3368, Leboh Ayeh Keroh, Bukit Baru, Melaka Tengah, Malaysia, Melaka, 75450 Malacca ",McDonald's Melaka Mall DT,4.0,,Operating
Melaka,Kota Melaka,"Address: Kampung Enam, 75300 Malacca ",McDonald's Jalan Tun Perak DT,2.7,,Operating
Melaka,Kota Melaka,"Address: Lot 15702, Mukim Bukit Katil, Daerah Melaka Tengah, Hang Tuah Jaya, 75450, Malacca ",McDonald's MITC Melaka DT,4.2,,Operating
Melaka,Kota Melaka,"Address: Lot 4985, Jalan Tun Hamzah, Mukim, 75450 Bukit Katil, Melaka ",McDonald's Petronas Bukit Katil DT,4.1,,No status
Melaka,Kota Melaka,"Address: Utama MV, 75, Jalan Inang, 76450 3 ",McDonald's Bandar Utama Cheng,4.0,,Operating
Melaka,Jasin,"Address: Lot A02, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Malacca ",McDonald's Dataran Pahlawan DT,4.0,,Operating
Melaka,Jasin,"Address: Jalan Jasin - Melaka, 77000 Bemban, Melaka ",McDonald's Jasin DT,3.7,,Operating
