State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Sembrong,"Address: K1-5, Ground Floor, Kluang Parade, Jln Sentol, Kampung Masjid Lama, 86000 Kluang, Johor ",KFC Kluang Parade,4.4,(126),No status
Johor,Sembrong,"Address: Lot LG-09, & LG-10, Kluang Mall, Jln Rambutan, Taman Suria, 86000 Kluang, Johor ",KFC Kluang Mall 2,4.0,(409),Operating
Johor,Sembrong,"Address: No. 1 & 2, Jln Bandar Baru 1, 86100 Ayer Hitam, Johor Darul Ta'zim ",KFC Bandar Baru Ayer Hitam Johor,4.0,(946),Operating
Johor,Sembrong,"Address: Lot 42, 43, Jalan 4/1, Taman Anggerik, 81440 Bandar Tenggara, Johor ",KFC Bandar Tenggara,3.8,(836),Operating
Johor,Sembrong,"Address: Lot Zone C01, 03A Sultan Ibrahim Stadium, Jln Gelang Patah, 79100 Iskandar, Johor ",KFC STADIUM JDT,4.6,(195),No status
Johor,Sembrong,"Address: Sebahagian PTB 23174, Jalan Ibrahim Sultan, Mukim Bandar, 80300 Johor Bahru, Johor ",KFC Stulang Laut,4.1,"(3,214)",Operating
Johor,Sembrong,"Address: No. 119 & 120, Jln Besar, Taman Selatan, 83700 Yong Peng, Johor Darul Ta'zim ",KFC Yong Peng,3.9,(966),Operating
Johor,Sembrong,"Address: 6, Jalan Setia Tropika 1/21, Taman Setia Tropika, 81200 Johor Bahru, Johor Darul Ta'zim ",KFC Setia Tropika DT,3.5,"(1,449)",Operating
Johor,Sembrong,"Address: PTD 210469, Bandar Seri Alam, 81700 Johor Bahru, Johor ",KFC Seri Alam DT,3.7,"(1,384)",Operating
Johor,Sembrong,"Address: Lot H.S (D) 23569, PTD 8797, Mukim Senai, Daerah Kulai Jaya, 81400 Johor Bahru, Johor ",KFC Petronas Senai Airport DT,3.6,(381),Operating
Johor,Sembrong,"Address: Plaza Angsana, Lot L1.28a & L1.29, Skudai Hwy, Pusat Bandar Tampoi, 81200 Johor Bahru, Johor ",KFC Plaza Angsana,4.3,(348),Operating
Johor,Sembrong,"Address: Jb Sentral, Lot 3 & 7 Main, 80000 Johor Bharu, Johor ",KFC JB Sentral,2.5,(267),Operating
Johor,Sembrong,"Address: Lot No. 4F51 & 52, Paradigm Mall, Skudai Hwy, 81200 Johor Bahru, Johor ",KFC Paradigm Mall,2.5,(251),Operating
Johor,Sembrong,"Address: Lot 6559, Shell, Batu 11, Jln Kluang, Mukim Sri Gading, 86400 Parit Raja, Johor ",KFC Shell Parit Raja,3.9,(606),Operating
Johor,Sembrong,"Address: 66, Jalan Perwira 1, Taman Ungku Tun Aminah, 81300 Skudai, Johor Darul Ta'zim ",KFC Tun Aminah,3.7,(772),Operating
Johor,Sembrong,"Address: Lot HS (D) 176907 (PTD 44992, Taman Universiti, 81300 Johor Bahru, Johor Darul Ta'zim ",KFC Petronas Taman University DT,3.6,(871),Operating
Johor,Sembrong,"Address: Lot 413, Jalan Tampoi, Taman Damansara Aliff, 81200 Johor Bahru, Johor Darul Ta'zim ",KFC Damansara Aliff DT,4.0,"(1,469)",Operating
Johor,Sembrong,"Address: Lot 126, Jln Segamat, Taman Bintang Jaya, 85300 Labis, Johor Darul Ta'zim ",KFC Labis,3.9,(573),Operating
Johor,Sembrong,"Address: 37, Jalan Abu Bakar, Mersing Kechil, 86800 Mersing, Johor Darul Ta'zim ",KFC Mersing,4.1,"(1,295)",Operating
Johor,Sembrong,"Address: Lot PTD 55587, Jalan Murni 1, Taman Murni, 83000 Batu Pahat, Johor ",KFC Batu Pahat DT,3.9,(936),Operating
Johor,Sembrong,"Address: Lot J22 - J23 Level 3, City Square, Jalan Wong Ah Fook, Bandar Johor Bahru, 80300 Johor Bahru, Johor ",KFC City Square,2.4,(328),Operating
Johor,Sembrong,"Address: No. 17-G, 17-1 & 17-2, Jalan Mutiara 2 Pusat Perniagaan Benut Benut, 82200 Pontian, Johor ",KFC Benut,3.7,(182),Operating
Johor,Mersing,"Address: 37, Jalan Abu Bakar, Mersing Kechil, 86800 Mersing, Johor Darul Ta'zim ",KFC Mersing,4.1,"(1,295)",Operating
Johor,Mersing,"Address: Lot W1 & W2, Kompleks Perniagaan Mersing, R9-R23, Habour Centre, 86800 Mersing, Johor ",KFC MERSING HARBOUR DT,3.3,(24),No status
Johor,Mersing,"Address: 62, Jalan Sulaiman, Bandar Tepian Sungai, 86800 Mersing, Johor Darul Ta'zim ",Marrybrown Fried Chicken,3.6,(59),Operating
